row;ic;ic_id;ic_member;ic_member_id;;
0;Feminism, Art and Politics;50000;Braderman, Joan;70000;;
1;Feminism, Art and Politics;50000;Hammond, Harmony;70001;;
2;Feminism, Art and Politics;50000;Hess, Elizabeth;70002;;
3;Feminism, Art and Politics;50000;Ladden, Arlene;70003;;
4;Feminism, Art and Politics;50000;Lippard, Lucy;70004;;
5;Feminism, Art and Politics;50000;Stevens, May;70005;;
6;Patterns of Communication and Space Among Women;50001;Beckert, Patsy;70006;;
7;Patterns of Communication and Space Among Women;50001;Borden, Lizzie;70007;;
8;Patterns of Communication and Space Among Women;50001;Froelich, Janet;70008;;
9;Patterns of Communication and Space Among Women;50001;Green, Denise;70009;;
10;Patterns of Communication and Space Among Women;50001;Heinemann, Sue;70010;;
11;Patterns of Communication and Space Among Women;50001;Levin, Diane;70011;;
12;Patterns of Communication and Space Among Women;50001;Steir, Pat;70012;;
13;Patterns of Communication and Space Among Women;50001;Weatherford, Elizabeth;70013;;
14;Patterns of Communication and Space Among Women;50001;Applebroog, Ida;70014;;
15;Patterns of Communication and Space Among Women;50001;Harris, Karen;70015;;
16;Patterns of Communication and Space Among Women;50001;Lederman, Stephanie Brody;70016;;
17;Patterns of Communication and Space Among Women;50001;Shaw, Karen;70017;;
18;Patterns of Communication and Space Among Women;50001;Skipitares, Theodora;70018;;
19;Patterns of Communication and Space Among Women;50001;Snider, Amy;70019;;
20;Patterns of Communication and Space Among Women;50001;Tardi, Carla;70020;;
21;Patterns of Communication and Space Among Women;50001;Weisbord, Mimi;70021;;
22;Lesbian Art and Artists;50002;Hammond, Harmony;70001;;
23;Lesbian Art and Artists;50002;Carr, Cynthia;70022;;
24;Lesbian Art and Artists;50002;Crowell, Betsy;70023;;
25;Lesbian Art and Artists;50002;Damon, Betsy;70024;;
26;Lesbian Art and Artists;50002;Fichtenholtz, Rose;70025;;
27;Lesbian Art and Artists;50002;Fishman, Louise;70026;;
28;Lesbian Art and Artists;50002;Friedrich, Su;70027;;
29;Lesbian Art and Artists;50002;Pottenger, Marty;70028;;
30;Lesbian Art and Artists;50002;Sillman, Amy;70029;;
31;Lesbian Art and Artists;50002;Wide, Christine;70030;;
32;Lesbian Art and Artists;50002;Webster, Kathy;70031;;
33;Women´s Traditional Arts - The Politics of Aesthetics;50003;Weatherford, Elizabeth;70013;;
34;Women´s Traditional Arts - The Politics of Aesthetics;50003;Edelheit, Martha;70032;;
35;Women´s Traditional Arts - The Politics of Aesthetics;50003;Jaudon, Valerie;70033;;
36;Women´s Traditional Arts - The Politics of Aesthetics;50003;Kozloff, Joyce;70034;;
37;Women´s Traditional Arts - The Politics of Aesthetics;50003;Meyer, Melissa;70035;;
38;Women´s Traditional Arts - The Politics of Aesthetics;50003;Rickey, Carrie;70036;;
39;Women´s Traditional Arts - The Politics of Aesthetics;50003;Sacre, Elizabeth;70037;;
40;Women´s Traditional Arts - The Politics of Aesthetics;50003;Schapiro, Miriam;70038;;
41;Women´s Traditional Arts - The Politics of Aesthetics;50003;Webster, Sally;70039;;
42;The Great Goddess;50004;Levin, Diane;70011;;
43;The Great Goddess;50004;Albanese, Mary;70040;;
44;The Great Goddess;50004;Alsup, Martha;70041;;
45;The Great Goddess;50004;Boyd, Tracy;70042;;
46;The Great Goddess;50004;Culbertson, Janet;70043;;
47;The Great Goddess;50004;Dudley, Rosemary;70044;;
48;The Great Goddess;50004;Edelson, Mary Beth;70045;;
49;The Great Goddess;50004;Feinstein, Gail;70046;;
50;The Great Goddess;50004;Freedman, Deborah;70047;;
51;The Great Goddess;50004;Foglia, Gina;70048;;
52;The Great Goddess;50004;Henes, Donna;70049;;
53;The Great Goddess;50004;Healy, Anne;70050;;
54;The Great Goddess;50004;Johnson, Buffie;70051;;
55;The Great Goddess;50004;Shinell, Grace;70052;;
56;The Great Goddess;50004;Stone, Merlin;70053;;
57;The Great Goddess;50004;Thea, Carolee;70054;;
58;The Great Goddess;50004;Turner, Susan;70055;;
59;The Great Goddess;50004;Ukeles, Mierle Laderman;70056;;
60;On Women and Violence;50005;Koenig, Janet;70057;;
61;On Women and Violence;50005;Lineback, Gail;70058;;
62;On Women and Violence;50005;Pajaczkowska, Claire;70059;;
63;On Women and Violence;50005;Rousseau, Ann Marie;70060;;
64;On Women and Violence;50005;Taylor, Katy;70061;;
65;On Women and Violence;50005;Webster, Paula;70062;;
66;On Women and Violence;50005;Pottenger, Marty;70028;;
67;Women Working Together;50006;Batchelder, Eleanor Olds;70063;;
68;Women Working Together;50006;Blumenthal, Lyn;70064;;
69;Women Working Together;50006;Carliner, Jole;70065;;
70;Women Working Together;50006;Fishman, Pam;70066;;
71;Women Working Together;50006;Kaufman, Jane;70067;;
72;Women Working Together;50006;Marks, Linda Nathan;70068;;
73;Women Working Together;50006;Ruddick, Sara;70069;;
74;Women Working Together;50006;Solomon, Elke;70070;;
75;Women Working Together;50006;Straus, Sandra;70071;;
76;Women Working Together;50006;Beckert, Patsy;70006;;
77;Women Working Together;50006;Froelich, Janet;70008;;
78;Third World Women;50007;Blocton, Lula Mae;70072;;
79;Third World Women;50007;Flowers, Yvonne;70073;;
80;Third World Women;50007;Harris, Valerie;70074;;
81;Third World Women;50007;Hashmi, Zarina;70075;;
82;Third World Women;50007;Jaramillo, Virginia;70076;;
83;Third World Women;50007;Russell, Dawn;70077;;
84;Third World Women;50007;Shabazz, Naeemah;70078;;
