row;work_title;work_id;referenced_author_id;referenced_work_id;referenced_source_id;Traditional/non Traditional boolean;;
0;Traditional Status Values of the Village;20000;NULL;NULL;NULL;TRUE;;
1;From the First-Issue Collective;20001;NULL;NULL;NULL;TRUE;;
2;Toward Socialist Feminism;20002;NULL;NULL;NULL;TRUE;;
3;Tijuana Maid;20003;NULL;NULL;NULL;FALSE;;
4;Women in the Community Mural Movement;20004;30066;40066;NULL;TRUE;;
5;Black Women;20005;NULL;NULL;NULL;FALSE;;
6;I am the People;20006;NULL;NULL;NULL;FALSE;;
7;Celebration of Cultures;20007;NULL;NULL;NULL;FALSE;;
8;Latinoamerica;20008;NULL;NULL;NULL;FALSE;;
9;Women;20009;NULL;NULL;NULL;FALSE;;
10;Hollenbeck Park Bandshell;20010;NULL;NULL;NULL;FALSE;;
11;Unity Eye;20011;NULL;NULL;NULL;FALSE;;
12;Warrensburg;20012;NULL;NULL;NULL;FALSE;;
13;Wall of Respect for Women;20013;NULL;NULL;NULL;FALSE;;
14;Women and Honor: Some Notes on Lying;20014;NULL;NULL;NULL;TRUE;;
15;Adman;20015;NULL;NULL;NULL;FALSE;;
16;Zucchini Poem;20016;NULL;NULL;NULL;FALSE;;
17;Tribute to Rosa Luxemburg;20018;NULL;NULL;NULL;FALSE;;
18;Two Women;20019;NULL;NULL;NULL;FALSE;;
19;The Art of Not Bowing: Writing by Women in Prison;20020;NULL;NULL;NULL;TRUE;;
20;Songs from a Free Space;20021;NULL;NULL;NULL;FALSE;;
21;Astrology Hype;20022;NULL;NULL;NULL;FALSE;;
22;Ten Ways of Looking at Prison Lunch;20023;NULL;NULL;NULL;FALSE;;
23;Alone;20024;NULL;NULL;NULL;FALSE;;
24;La Roquette, Women's Prison;20025;NULL;NULL;NULL;TRUE;;
56;Fays, Floozies, and Philosphical Flaws;20026;30016;40000;60001;TRUE;;
25;Fays, Floozies, and Philosphical Flaws;20026;30018;40001;NULL;TRUE;;
26;Fays, Floozies, and Philosphical Flaws;20026;30019;40001;NULL;TRUE;;
27;Fays, Floozies, and Philosphical Flaws;20026;30017;40007;60003;TRUE;;
28;Fays, Floozies, and Philosphical Flaws;20026;30020;40008;NULL;TRUE;;
29;Fays, Floozies, and Philosphical Flaws;20026;30021;40009;60004;TRUE;;
30;Fays, Floozies, and Philosphical Flaws;20026;30003;40010;NULL;TRUE;;
31;Fays, Floozies, and Philosphical Flaws;20026;30000;40021;NULL;TRUE;;
32;Fays, Floozies, and Philosphical Flaws;20026;30032;40022;NULL;TRUE;;
33;Fays, Floozies, and Philosphical Flaws;20026;30033;40023;NULL;TRUE;;
34;Fays, Floozies, and Philosphical Flaws;20026;30005;40024;NULL;TRUE;;
35;Fays, Floozies, and Philosphical Flaws;20026;30004;40025;NULL;TRUE;;
36;Fays, Floozies, and Philosphical Flaws;20026;30002;40026;NULL;TRUE;;
37;Fays, Floozies, and Philosphical Flaws;20026;30034;40027;NULL;TRUE;;
38;untitled;21582;NULL;NULL;NULL;FALSE;;
39;The Esthetics of Power in Modern Erotic Art;20027;30006;40028;NULL;TRUE;;
40;The Esthetics of Power in Modern Erotic Art;20027;30008;40029;60005;TRUE;;
41;The Esthetics of Power in Modern Erotic Art;20027;30009;40030;60006;TRUE;;
42;The Esthetics of Power in Modern Erotic Art;20027;30010;40031;NULL;TRUE;;
43;The Esthetics of Power in Modern Erotic Art;20027;30011;40032;60008;TRUE;;
44;The Esthetics of Power in Modern Erotic Art;20027;30007;40033;NULL;TRUE;;
45;The Esthetics of Power in Modern Erotic Art;20027;30012;40034;60009;TRUE;;
46;The Esthetics of Power in Modern Erotic Art;20027;30013;40035;NULL;TRUE;;
47;The Esthetics of Power in Modern Erotic Art;20027;30035;40036;NULL;TRUE;;
48;Woman in White Stockings;20028;NULL;NULL;NULL;FALSE;;
49;Roger and Angelica;20029;NULL;NULL;NULL;FALSE;;
50;The Greek Slave;20030;NULL;NULL;NULL;FALSE;;
51;Madonna;20031;NULL;NULL;NULL;FALSE;;
52;Untitled;20032;NULL;NULL;NULL;FALSE;;
53;Woman's Head;20033;NULL;NULL;NULL;FALSE;;
54;Seated Bather;20034;NULL;NULL;NULL;FALSE;;
55;Bathers;20035;NULL;NULL;NULL;FALSE;;
56;Reclining Nude;20036;NULL;NULL;NULL;FALSE;;
57;Femme Couteau;20038;NULL;NULL;NULL;FALSE;;
58;untitled;21583;NULL;NULL;NULL;FALSE;;
59;Making Love to a Man Who Isn't All There;20039;NULL;NULL;NULL;FALSE;;
60;Pierre and Lady Holland;20040;NULL;NULL;NULL;FALSE;;
61;Mythology and Me;20041;NULL;NULL;NULL;FALSE;;
62;The Subway;20042;NULL;NULL;NULL;FALSE;;
63;ABCS;20043;NULL;NULL;NULL;FALSE;;
64;Do You Think;20044;NULL;NULL;NULL;FALSE;;
65;Bomb Shitting;20045;NULL;NULL;NULL;FALSE;;
