row;author;author_id;work_id;referenced_author_id;referenced_work_id;referenced_source_id;ic_id
0;Martin, Mandy;10000;20000;0;0;0;50000
1;Braderman, Joan;10001;20001;0;0;0;50000
2;Hess, E. ;10002;20001;0;0;0;50000
3;Hammond, Harmony;10046;20001;0;0;0;50000
4;Ladden, Arlene;10023;20001;0;0;0;50000
5;Lippard, Lucy R.;10058;20001;0;0;0;50000
6;Stevens, May;10016;20001;0;0;0;50000
7;Ehrenreich, Barbara;10003;20002;0;0;0;50000
8;Rosler, Martha;10004;20003;0;0;0;50000
9;Cockcroft, Eva;10005;20004;30066;40066;0;50000
10;Green, Vanita;10006;20005;0;0;0;50000
11;Yasko, Caryl;10007;20006;0;0;0;50000
12;Burton, Marie;10008;20007;0;0;0;50000
13;Mujeres Muralistas;10009;20008;0;0;0;50000
14;People's Painters;10010;20009;0;0;0;50000
15;Baca, Judy;10011;20010;0;0;0;50000
16;Haight-Ashbury Muralists;10012;20011;0;0;0;50000
17;Cockcroft, Eva;10005;20012;0;0;0;50000
18;Arai, Tomi;10674;20013;0;0;0;50000
19;Rich, Adrienne;10014;20014;0;0;0;50000
20;Zelvin, Elizabeth;10015;20015;0;0;0;50000
21;Zelvin, Elizabeth;10015;20016;0;0;0;50000
22;Stevens, May;10016;20017;0;0;0;50000
23;Muske, Carol;10017;20020;0;0;0;50000
24;Various;10018;20021;0;0;0;50000
25;Ramer, Carol;10019;20022;0;0;0;50000
26;Jensen, Gloria;10020;20023;0;0;0;50000
27;Hiller, Deborah;10021;20024;0;0;0;50000
28;Groupe de Cinq;10022;20025;0;0;0;50000
29;Ladden, Arlene;10023;20026;30016;40000;60001;50000
30;Ladden, Arlene;10023;20026;30018;40001;0;50000
31;Ladden, Arlene;10023;20026;30019;40001;0;50000
32;Ladden, Arlene;10023;20026;30017;40007;60003;50000
33;Ladden, Arlene;10023;20026;30020;40008;0;50000
34;Ladden, Arlene;10023;20026;30021;40009;60004;50000
35;Ladden, Arlene;10023;20026;30003;40010;0;50000
36;Ladden, Arlene;10023;20026;30000;40021;0;50000
37;Ladden, Arlene;10023;20026;30032;40022;0;50000
38;Ladden, Arlene;10023;20026;30033;40023;0;50000
39;Ladden, Arlene;10023;20026;30005;40024;0;50000
40;Ladden, Arlene;10023;20026;30004;40025;0;50000
41;Ladden, Arlene;10023;20026;30002;40026;0;50000
42;Ladden, Arlene;10023;20026;30034;40027;0;50000
43;Van Eyck, Margaret ;11163;21582;0;0;0;50000
44;Duncan, Carol;10024;20027;30006;40028;0;50000
45;Duncan, Carol;10024;20027;30008;40029;60005;50000
46;Duncan, Carol;10024;20027;30009;40030;60006;50000
47;Duncan, Carol;10024;20027;30010;40031;0;50000
