row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
0;Chrysostom, St. John;30016;40000;60001
1;De Caen, Roger;30017;40007;60003
2;Dobson, E. J. (Editor);30020;40008;0
3;Coulton, G. G. (Editor);30021;40009;60004
4;De Nostredame, Jehan;30003;40010;0
5;Epton, Nina;30000;40021;0
6;La Curne de Sainte-Palaye, Jean Baptiste;30032;40022;0
7;Plutarch;30033;40023;0
8;Ovid;30005;40024;0
9;Langhorne, John;30004;40025;0
10;Balaguer, Victor;30002;40026;0
11;Humphries, Rolfe;30034;40027;0
12;Greer, Germaine;30006;40028;0
13;Steinberg, Leo;30008;40029;60005
14;Schiff, Gert;30009;40030;60006
15;Chipp, Herschel B.;30010;40031;0
16;Kozloff, Max;30011;40032;60008
17;Beauvoir, Simone de;30007;40033;0
18;Ortner, Sherry;30012;40034;60009
19;Michelet, Jules;30013;40035;0
20;Palmer, J. W. ;30035;40036;0
21;Freeman, Alexa;30036;40037;60010
22;MacMillan, Jackie;30037;40037;0
23;Cockcroft, Eva;30038;40038;60014
24;Brooke;30039;40039;60012
25;Mainardi, Patricia;30040;40040;60013
26;Weatherford, Elizabeth;30041;40041;60016
27;Johnson, Kathryn C. ;30042;40042;0
28;Dworkin, Andrea;30043;40043;0
29;Women's Week Planning Comittee;30044;40044;0
30;no name;30045;40045;0
31;no name;30046;40046;0
32;Bunch, Charlotte ;30082;40082;0
33;Myron, Nancy (Editor);30083;40082;0
34;Russell, Michelle;30047;40047;60018
35;Celender, Don (Editor);30048;40048;0
36;Schneemann, Carolee;30049;40049;60019
37;Rowbotham, Sheila;30050;40050;0
38;Mitchell, Juliet;30051;40051;60020
39;Schneir, Miriam (Editor);30052;40052;0
40;Guettel, Charnie;30053;40053;
41;Braderman, Joan;30054;40054;60021
42;Smith, Sharon;30055;40055;
43;Sitney, P. Adams (Editor);30056;40056;
44;Halprin, Anna;30058;40058;60022
45;Deak, Frantisek;30059;40059;60023
46;Deak, Norma Jean;30060;40059;
47;Halprin, Anna;30058;40060;60024
48;Thompson, Clara M.;30061;40062;
49;Paz, Suni;30066;40066;
50;Mead, Margaret;30084;40083;60025
51;Cramer, Phebe;30085;40084;60026
52;Henley, Nancy;30086;40085;0
53;Davis, Martha;30087;40086;0
54;Turnbull, Colin;30088;40087;0
55;Hall, Edward T.;30089;40088;0
56;Draper, Patricia;30090;40089;60027
57;Kohl, J. G.;30091;40090;0
58;Mariott, Alice;30092;40091;60028
59;Kenyatta, Jomo;30093;40092;0
60;Brown, Judith K.;30094;40093;60027
61;Bourdieu, Pierre;30095;40094;60029
62;Cole, Doris;30096;40095;0
63;Torre, Susana;30097;40096;0
64;De Beauvoir, Simone;30007;40033;0
65;Abensour, Leon;30098;40097;0
66;Zetkin, Clara;30099;40098;0
67;Rowbotham, Sheila;30050;40099;0
68;Stern, Daniel;30100;40100;0
69;Stern, Daniel;30100;40101;0
70;no name;30125;40118;0
71;Thomas, Edith;30126;40119;0
72;Delteil, Loys;30127;40120;0
73;no name;30128;40121;0
74;no name;30129;40122;0
75;Thomas, Edith;30126;40123;0
76;Delteil, Loys;30127;40124;0
77;Delteil, Loys;30127;40125;0
78;Delteil, Loys;30127;40126;0
79;Wittig, Monique;30130;40127;0
80;Owen, Peter;30131;40128;0
81;Redstockings;30132;40129;0
82;Pyziur, Eugene;30133;40130;0
83;Goldman, Emma;30134;40131;0
84;Goldman, Emma;30134;40132;60035
85;Looker, Robert;30135;40133;0
86;Nettl, Peter;30136;40134;0
87;Honeycutt, Karen;30137;40135;60036
88;Balabanoff, Angelica;30138;40136;0
89;Kollontai, Aleksandra;30139;40137;0
90;Beneria, Lourdes;30140;40138;60037
91;Kaplan, Temma;30141;40139;60038
92;Fredricks, Shirley F.;30142;40140;0
93;McNeil, Margaret;30143;40141;60039
94;Rosaldo, Michelle Zimbalist;30144;40142;0
95;Moberg, David;30145;40143;0
96;Franks, Lucinda;30146;40144;60040
97;no name;30147;40145;0
98;McKeown, Ciaran;30148;40146;0
99;Sacks, Harvey;30149;40147;60041
100;Schegloff, Emmanuel A.;30150;40147;60041
101;Jefferson, Gail;30151;40147;60041
102;Sacks, Harvey;30149;40148;60042
103;Sullivan, Louis;30152;40149;60043
104;Weisman, Winston;30153;40150;60044
105;Agrest, Diana;30154;40151;60045
106;Lindquist-Cock, Elizabeth;30155;40152;60046
107;Jussim, Estelle;30156;40152;60046
108;Newman, Donna Joy;30157;40153;60047
109;Zukowsky, John;30158;40154;0
110;Bennett, Arnold;30159;40155;60048
111;no name;30160;40156;60049
112;Cherry, Mike;30161;40157;0
113;James, Theodore, Jr.;30162;40158;0
114;Bragdon, Claude;30163;40159;60050
115;Le Corbusier;30164;40160;60051
116;Scully, Vincent;30165;40161;0
117;Clark, William C.;30166;40162;0
118;Kingston, J. L.;30167;40162;0
119;Zoll, Stephen;30168;40163;60052
120;Zwarun, Suzanne;30169;40164;60053
121;Pawley, Martin;30170;40165;0
123;Guthrie, Woody;30171;40167;0
124;Sletteland, Greggar;30172;40168;0
125;Brugmann, Bruce;30173;40168;0
126;Quinn, Susan;30174;40169;60055
127;no name;30175;40170;60056
128;Superstudio;30176;40171;60057
129;Ballard, J. G.;30177;40172;60058
130;Weisstein, Naomi;30178;40173;60059
131;Sanborn, Kate;30179;40174;0
132;Bruere, Martha Bensley;30180;40175;0
133;Hollowood, Bernard;30181;40176;0
134;Cowan, Lore;30182;40177;0
